Topic,Count,Name,Representation,Representative_Docs
-1,1306,-1_presiden prabowo_bencana_pemerintah_menteri,"['presiden prabowo', 'bencana', 'pemerintah', 'menteri', 'banjir', 'warga terdampak', 'korban', 'indonesia', 'negeri', 'memulihkan warga']","['presiden republik indonesia prabowo subianto menargetkan pemulihan aliran listrik normal persen secepatnya wilayah terdampak bencana banjir bandang sumatera presiden prabowosubianto listrik aceh idola smg indonesia', 'kebersamaan kekuatan utama bangsa menghadapi bencana presiden prabowo subianto mengapresiasi kerja keras tni polri bnpb basarnas pemerintah daerah relawan masyarakat bahu membahu membantu warga terdampak aceh sumut', 'sebentar natal presiden prabowo fokus huniankorbanbencana memulihkan warga terdampak']"
0,2532,0_presiden prabowo_rekonstruksi pascabencana_indonesia_pasca bencana,"['presiden prabowo', 'rekonstruksi pascabencana', 'indonesia', 'pasca bencana', 'pulihkan infrastruktur', 'ketiga', 'warga terdampak', 'bangkit pasca', 'prabowo pulihkan', 'pemerintah']","['ketiga kalinya presiden prabowo turun langsung daerah banjir longsor prabowo bangun rekonstruksi pascabencana rumah rakyat diganti listrik jalan infrastruktur dipulihkan cepat kondisi berat kuat gotong royong', 'presiden prabowo menguatkan warga terdampak pesan prabowo bangun rekonstruksi pascabencana mengganti rumah rusak memulihkan listrik jalan infrastruktur', 'presiden prabowo mendengar langsung keluhan warga menjawabnya rencana prabowo bangun rekonstruksi pascabencana']"
1,538,1_kerja_kerja kerja_pulang_pulang kerja,"['kerja', 'kerja kerja', 'pulang', 'pulang kerja', 'besok', 'gaji', 'kerja keras', 'sampe', 'kek', 'pagi']","['mayan nemenin kerja', 'kakkk kerja', 'bayi kerja']"
2,78,2_israel_palestina_perdamaian_suriah,"['israel', 'palestina', 'perdamaian', 'suriah', 'gencatan senjata', 'saudi', 'turki', 'islam', 'gaza palestina', 'irak']","['dukung pernyataan menlu menlu negara arab islam hnw tolak bentuk pengusiran warga gaza palestina israel', 'dukung menlu menlu negara arab islam hnw tolak bentuk pengusiran warga gaza palestina israel', 'dukung menlu menlu negara arab islam hnw tolak bentuk pengusiran warga gaza palestina israel']"
3,70,3_rusia_diplomat_zakharova_kemenlu rusia,"['rusia', 'diplomat', 'zakharova', 'kemenlu rusia', 'geopolitik', 'vladimir putin', 'vladimir', 'rusia maria', 'araghchi', 'moskow']","['menlu ukraina andrii sybiha menuduh presiden rusia vladimir putin membuang dunia sehari pembicaraan tingkat amerika serikat rusia upaya perang ukraina menghasilkan perkembangan', 'zakharova bilang pembicaraan serangan nato rusia bertanggung sesi sputnik maria zakharova jubir kemenlu rusia mengecam keras ketua komite militer nato menilai nato bersikap sinis menuding agresi rusia', 'rusia menlu rusia lavrov rusia mengkaji proposal barat sesuai semangat kesepakatan putin amp trump alaska moskow resmi menerima rencana perdamaian draft']"
4,32,4_pakistan rusia_meninjau bencana_rusia presiden_keselamatan,"['pakistan rusia', 'meninjau bencana', 'rusia presiden', 'keselamatan', 'pakistan', 'agenda', 'negara hadir', 'rusia', 'kunjungan', 'presiden prabowo']","['aceh pakistan rusia presiden prabowo langsung aceh meninjau bencana agenda global keselamatan rakyat prioritas kunjungan ketiganya aceh menunda negara hadir', 'aceh pakistan rusia presiden prabowo langsung aceh meninjau bencana agenda global keselamatan rakyat prioritas kunjungan ketiganya aceh menunda negara hadir', 'aceh pakistan rusia presiden prabowo langsung aceh meninjau bencana agenda global keselamatan rakyat prioritas kunjungan ketiganya aceh menunda negara hadir']"
5,24,5_joko widodo_joko_polda metro_presiden joko,"['joko widodo', 'joko', 'polda metro', 'presiden joko', 'gelar', 'ijazah palsu', 'palsu presiden', 'tudingan ijazah', 'hukum presiden', 'pidana']","['kuasa hukum roy suryo menyoroti aspek gelar perkara khusus terkait dugaan ijazah palsu presiden joko widodo digelar polda metro jaya senin baca roysuryo ijazah jokowi', 'jam gelar perkara khusus dugaan ijazah palsu presiden joko widodo digelar polda metro jaya permintaan roy suryo senin fae', 'polda metro jaya menjadwalkan gelar perkara khusus terkait tudingan ijazah palsu presiden joko widodo senin desember joko widodo menghadiri gelar perkara khusus sesuai undangan polda metro jaya kuasa hukum']"
6,22,6_china_jepang_taiwan_menlu china,"['china', 'jepang', 'taiwan', 'menlu china', 'ketegangan', 'pernyataan', 'geopolitik', 'batas', 'langit', 'peringatan']","['menduga pembatalan berkaitan meningkatnya ketegangan hubungan jepang china pernyataan jepang sanae takaichi isu taiwan memicu reaksi keras china', 'menlu china menilai pernyataan jepang melewati batas memicu ketegangan asia timur narayapost china jepang geopolitik asiatimur isuglobal diplomasi beritaterkini indonesiaupdate', 'menlu china menilai pernyataan jepang melewati batas memicu ketegangan asia timur narayapost china jepang geopolitik asiatimur isuglobal diplomasi beritaterkini indonesiaupdate']"
